000000018e09fcb9 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018e0a07bc (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018e0a02bc (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018e09fdbc (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018e0a06bc (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018e0a01bc (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018e08a824 (__TEXT,__text) non-external _active_outbound_item_reset
000000018e08f424 (__TEXT,__text) non-external _add_hd_table_incremental
000000018e0931ec (__TEXT,__text) non-external _bubble_down
000000018e09316c (__TEXT,__text) non-external _bubble_up
000000018e08a744 (__TEXT,__text) non-external _buf_chain_new
000000018e094484 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018e08a5e8 (__TEXT,__text) non-external _default_calloc
000000018e08a9bc (__TEXT,__text) non-external _default_free
000000018e08a68c (__TEXT,__text) non-external _default_malloc
000000018e08a818 (__TEXT,__text) non-external _default_realloc
000000018e08ee90 (__TEXT,__text) non-external _emit_indname_block
000000018e08f010 (__TEXT,__text) non-external _emit_string
000000018e091ccc (__TEXT,__text) non-external _emit_table_size
000000018e09620c (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018e08f760 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018e095824 (__TEXT,__text) non-external _free_streams
000000018e096998 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018e091b24 (__TEXT,__text) non-external _hd_context_free
000000018e090000 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018e092e84 (__TEXT,__text) non-external _hd_get_table_entry
000000018e090f70 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018e091030 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018e090e94 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018e090d90 (__TEXT,__text) non-external _hd_inflate_read_len
000000018e091bb4 (__TEXT,__text) non-external _hd_ringbuf_get
000000018e09bc78 (__TEXT,__const) non-external _huff_decode_table
000000018e09b470 (__TEXT,__const) non-external _huff_sym_table
000000018e08d7a0 (__TEXT,__text) non-external _insert
000000018e09230c (__TEXT,__text) non-external _insert_link_dep
000000018e08e130 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
000000018e091f78 (__TEXT,__text) non-external _map_resize
00000001e5acdf00 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018e08b240 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018e08ab08 (__TEXT,__text) non-external _nghttp2_bufs_add
000000018e08f700 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018e091c60 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018e09b238 (__TEXT,__text) external _nghttp2_check_authority
000000018e089d1c (__TEXT,__text) external _nghttp2_check_header_name
000000018e089d68 (__TEXT,__text) external _nghttp2_check_header_value
000000018e09b164 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018e09b1d0 (__TEXT,__text) external _nghttp2_check_method
000000018e09b204 (__TEXT,__text) external _nghttp2_check_path
000000018e0930c8 (__TEXT,__text) external _nghttp2_extpri_parse_priority
000000018e08f914 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018e0925f4 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018e08d990 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018e092714 (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
000000018e092514 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018e08d960 (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018e08ffb8 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018e092cb4 (__TEXT,__text) external _nghttp2_hd_deflate_del
