0000000193eb07c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000193eb0864 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
0000000193eb0924 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
0000000193eb06ac (__TEXT,__gcc_except_tab) non-external GCC_except_table14
0000000193eb0940 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
0000000193eb0604 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
0000000193eb04e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
0000000193eb056c (__TEXT,__gcc_except_tab) non-external GCC_except_table23
0000000193eb0584 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
0000000193eb0614 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
0000000193eb07dc (__TEXT,__gcc_except_tab) non-external GCC_except_table26
0000000193eb0950 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
0000000193eb04f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
0000000193eb04d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
0000000193eb0688 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
0000000193eb0500 (__TEXT,__gcc_except_tab) non-external GCC_except_table30
0000000193eb06bc (__TEXT,__gcc_except_tab) non-external GCC_except_table33
0000000193eb062c (__TEXT,__gcc_except_tab) non-external GCC_except_table36
0000000193eb07f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
0000000193eb0714 (__TEXT,__gcc_except_tab) non-external GCC_except_table46
0000000193eb0648 (__TEXT,__gcc_except_tab) non-external GCC_except_table47
0000000193eb0658 (__TEXT,__gcc_except_tab) non-external GCC_except_table48
0000000193eb0668 (__TEXT,__gcc_except_tab) non-external GCC_except_table49
0000000193eb0678 (__TEXT,__gcc_except_tab) non-external GCC_except_table50
0000000193eb0524 (__TEXT,__gcc_except_tab) non-external GCC_except_table51
0000000193eb0724 (__TEXT,__gcc_except_tab) non-external GCC_except_table51
0000000193eb0534 (__TEXT,__gcc_except_tab) non-external GCC_except_table52
0000000193eb0740 (__TEXT,__gcc_except_tab) non-external GCC_except_table52
0000000193eb0750 (__TEXT,__gcc_except_tab) non-external GCC_except_table55
0000000193eb076c (__TEXT,__gcc_except_tab) non-external GCC_except_table57
0000000193eb0594 (__TEXT,__gcc_except_tab) non-external GCC_except_table59
0000000193eb05a4 (__TEXT,__gcc_except_tab) non-external GCC_except_table63
0000000193eb05b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table64
0000000193eb05c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table65
0000000193eb05d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
0000000193eb0788 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
0000000193eb05e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table68
0000000193eb05f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table69
0000000193eb0804 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
0000000193eb0544 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
0000000193eb0820 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
0000000193eb0798 (__TEXT,__gcc_except_tab) non-external GCC_except_table85
0000000193eb07a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table86
0000000193eb07b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table91
                 (undefined) external _AudioObjectGetPropertyData (from CoreAudio)
                 (undefined) external _CFArrayAppendArray (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetFirstIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayReplaceValues (from CoreFoundation)
                 (undefined) external _CFArraySetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFAutorelease (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetValueForInfoDictionaryKey (from CoreFoundation)
                 (undefined) external _CFCharacterSetAddCharactersInString (from CoreFoundation)
                 (undefined) external _CFCharacterSetCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFCharacterSetGetPredefined (from CoreFoundation)
                 (undefined) external _CFCharacterSetInvert (from CoreFoundation)
                 (undefined) external _CFCharacterSetIsCharacterMember (from CoreFoundation)
                 (undefined) external _CFCharacterSetUnion (from CoreFoundation)
                 (undefined) external _CFCopyDescription (from CoreFoundation)
                 (undefined) external _CFCopySearchPathForDirectoriesInDomains (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetRetainCount (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFLocaleCreate (from CoreFoundation)
                 (undefined) external _CFLocaleCreateCanonicalLocaleIdentifierFromString (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFLocaleGetTypeID (from CoreFoundation)
                 (undefined) external _CFLocaleGetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamClose (from CoreFoundation)
