00000001adc1be50 (__TEXT,__text) non-external +[Caller current]
00000001adc1c3f8 (__TEXT,__text) non-external +[Caller pathFromPid:]
00000001adc1e7ec (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00000001adc1e8d4 (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00000001adc1e3c4 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00000001adc39c04 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00000001adc1e4ac (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00000001adc1d93c (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00000001adc1dbc4 (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00000001adc1f19c (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00000001adc1e300 (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00000001adc1e23c (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00000001adc1ea8c (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00000001adc39cb0 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00000001adc1e94c (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00000001adc39c70 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00000001adc1e5e8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00000001adc1edb8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00000001adc1ee64 (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00000001adc1eee8 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00000001adc1ebcc (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00000001adc39cf0 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00000001adc1ee9c (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00000001adc1ed0c (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00000001adc1e5cc (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00000001adc1e5b8 (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00000001adc1e5dc (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00000001adc1f108 (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00000001adc1ef34 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00000001adc1f094 (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00000001adc1dfcc (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00000001adc39af4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00000001adc39b40 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00000001adc39b8c (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00000001adc39bb8 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00000001adc1decc (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00000001adc1dc84 (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00000001adc39a5c (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00000001adc39a88 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00000001adc39ab4 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00000001adc1d8dc (__TEXT,__text) non-external +[DaemonUtils queue]
00000001adc1d82c (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00000001adc39a34 (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00000001adc1a1dc (__TEXT,__text) non-external +[EvaluationRequest current]
00000001adc1b238 (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00000001adc18ba0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00000001adc397d0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00000001adc12938 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00000001adc39258 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00000001adc12010 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00000001adc339d4 (__TEXT,__text) non-external +[LASIORemoteCall call]
00000001adc36314 (__TEXT,__text) non-external +[LASecureIO secureIO]
00000001adc28448 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00000001adc27f08 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00000001adc28894 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00000001adc28904 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00000001adc28974 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00000001adc289e4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00000001adc28a54 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
