000000022666a7f8 (__TEXT,__text) non-external +[LNAppConnectionListener sharedListener]
0000000226675b4c (__TEXT,__text) non-external +[LNClientConnection currentAuditToken]
0000000226675ae0 (__TEXT,__text) non-external +[LNClientConnection performWithoutTimeout:]
000000022666c74c (__TEXT,__text) non-external +[LNProcessInstanceRegistryClient sharedInstance]
000000022666a138 (__TEXT,__text) non-external +[LNUserActivityHelper associateAppIntentWithUserActivity:completionHandler:]
0000000226676b70 (__TEXT,__text) non-external -[CSSearchableItemAttributeSet(Temporary) setCachedViewDataSafe:]
000000022666a144 (__TEXT,__text) non-external -[LNAppConnectionListener handleAppleEvent:withReplyEvent:]
000000022666a7a0 (__TEXT,__text) non-external -[LNAppConnectionListener listenerEndpoint]
000000022666b78c (__TEXT,__text) non-external -[LNAppContextWrapper .cxx_destruct]
000000022666b798 (__TEXT,__text) non-external -[LNAppContextWrapper appContext]
000000022666b888 (__TEXT,__text) non-external -[LNAppContextWrapper init]
000000022666b7a0 (__TEXT,__text) non-external -[LNAppContextWrapper performAction:options:reportingProgress:delegate:auditToken:completionHandler:]
000000022666c7f4 (__TEXT,__text) non-external -[LNClientConnection .cxx_destruct]
000000022666c89c (__TEXT,__text) non-external -[LNClientConnection appContext]
000000022667559c (__TEXT,__text) non-external -[LNClientConnection cancelOperationWithIdentifier:reason:]
0000000226675814 (__TEXT,__text) non-external -[LNClientConnection clientConnectionQueue]
000000022666c858 (__TEXT,__text) non-external -[LNClientConnection connectionListener]
000000022666d790 (__TEXT,__text) non-external -[LNClientConnection createAsyncIteratorForSequence:options:completionHandler:]
00000002266758a0 (__TEXT,__text) non-external -[LNClientConnection dealloc]
000000022666f3f8 (__TEXT,__text) non-external -[LNClientConnection exportTransientEntities:withConfiguration:completionHandler:]
000000022667135c (__TEXT,__text) non-external -[LNClientConnection fetchActionAppContextFromAction:completionHandler:]
0000000226670d8c (__TEXT,__text) non-external -[LNClientConnection fetchActionForAppShortcutIdentifier:completionHandler:]
0000000226671074 (__TEXT,__text) non-external -[LNClientConnection fetchActionForAutoShortcutPhrase:completionHandler:]
00000002266721f4 (__TEXT,__text) non-external -[LNClientConnection fetchActionOutputValueWithIdentifier:completionHandler:]
