                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
000000018c916dd8 (__TEXT,__text) external _BNNSAffineGridSample
000000018c91b35c (__TEXT,__text) external _BNNSApplyMultiheadAttention
000000018c91b778 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
000000018c91a238 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
000000018c918f74 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
000000018c916dc4 (__TEXT,__text) external _BNNSBandPart
000000018cc68938 (__TEXT,__text) external _BNNSClearNetwork
000000018c917400 (__TEXT,__text) external _BNNSClipByGlobalNorm
000000018c917280 (__TEXT,__text) external _BNNSClipByNorm
000000018c917108 (__TEXT,__text) external _BNNSClipByValue
000000018c92151c (__TEXT,__text) external _BNNSCompareTensor
000000018c920998 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
000000018c917588 (__TEXT,__text) external _BNNSComputeNorm
000000018c917700 (__TEXT,__text) external _BNNSComputeNormBackward
000000018c9a8ee8 (__TEXT,__text) external _BNNSComputeSimilarities
000000018c91bbec (__TEXT,__text) external _BNNSCopy
000000018c915da4 (__TEXT,__text) external _BNNSCreateNearestNeighbors
000000018c9183c4 (__TEXT,__text) external _BNNSCreateRandomGenerator
000000018c9183c8 (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
000000018c916dcc (__TEXT,__text) external _BNNSCropResize
000000018c916dd0 (__TEXT,__text) external _BNNSCropResizeBackward
000000018c921558 (__TEXT,__text) external _BNNSDataLayoutGetRank
000000018c6fafd8 (__TEXT,__text) external _BNNSDequantize
000000018c915da8 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
000000018c9183cc (__TEXT,__text) external _BNNSDestroyRandomGenerator
000000018c9209a4 (__TEXT,__text) external _BNNSDirectApplyActivationBatch
000000018c9209e0 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
000000018c920984 (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
000000018c91c044 (__TEXT,__text) external _BNNSDirectApplyInTopK
000000018c9209a0 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
000000018c92099c (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
000000018c916f7c (__TEXT,__text) external _BNNSDirectApplyQuantizer
000000018c91bdf0 (__TEXT,__text) external _BNNSDirectApplyReduction
000000018c91bffc (__TEXT,__text) external _BNNSDirectApplyTopK
000000018c921500 (__TEXT,__text) external _BNNSFilterApply
000000018c91eddc (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
000000018c91ac9c (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
000000018c91de8c (__TEXT,__text) external _BNNSFilterApplyBatch
000000018c91a704 (__TEXT,__text) external _BNNSFilterApplyTwoInput
000000018c91a724 (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
000000018c91c838 (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
000000018c921370 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
000000018c9214f8 (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
000000018c91ca38 (__TEXT,__text) external _BNNSFilterCreateFusedLayer
000000018c91c844 (__TEXT,__text) external _BNNSFilterCreateLayerActivation
000000018c91ca28 (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
000000018c91a6f8 (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
000000018c91c824 (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
000000018c91bde8 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
000000018c91ca30 (__TEXT,__text) external _BNNSFilterCreateLayerDropout
000000018c916f78 (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
000000018c91c830 (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
000000018c91a6d0 (__TEXT,__text) external _BNNSFilterCreateLayerGram
000000018c91c848 (__TEXT,__text) external _BNNSFilterCreateLayerLoss
000000018c91b358 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
000000018c91c84c (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
000000018c91ca34 (__TEXT,__text) external _BNNSFilterCreateLayerPadding
000000018c91ca2c (__TEXT,__text) external _BNNSFilterCreateLayerPermute
000000018c91c840 (__TEXT,__text) external _BNNSFilterCreateLayerPooling
000000018c91bdec (__TEXT,__text) external _BNNSFilterCreateLayerReduction
000000018c91b354 (__TEXT,__text) external _BNNSFilterCreateLayerResize
000000018c917890 (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
000000018c91c83c (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
000000018c91a6ac (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
000000018c91c828 (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
000000018c9214fc (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
000000018c921518 (__TEXT,__text) external _BNNSFilterCreateVectorActivationLayer
000000018c920c34 (__TEXT,__text) external _BNNSFilterDestroy
000000018c91c588 (__TEXT,__text) external _BNNSFilterGetState
000000018c91c054 (__TEXT,__text) external _BNNSFilterGetStateSize
000000018c91c26c (__TEXT,__text) external _BNNSFilterSetState
000000018c9357d4 (__TEXT,__text) external _BNNSFunctionGRUFusedGates
000000018c920384 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardBatch
000000018c919898 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardMultiInputBatch
000000018c91d828 (__TEXT,__text) external _BNNSFusedFilterApplyBatch
000000018c9189cc (__TEXT,__text) external _BNNSFusedFilterApplyMultiInputBatch
000000018c916268 (__TEXT,__text) external _BNNSGather
000000018c916270 (__TEXT,__text) external _BNNSGatherND
000000018c91bdf4 (__TEXT,__text) external _BNNSGetPointer
000000018c7b1148 (__TEXT,__text) external _BNNSGraphAnalyzeIRSize
000000018c695800 (__TEXT,__text) external _BNNSGraphCompileFromFile
000000018c7a8ddc (__TEXT,__text) external _BNNSGraphCompileFromFile_v2
000000018c7ab8f8 (__TEXT,__text) external _BNNSGraphCompileOptionShareIOPointer
000000018c7aa97c (__TEXT,__text) external _BNNSGraphCompileOptionsDestroy
000000018c7aae80 (__TEXT,__text) external _BNNSGraphCompileOptionsGetCompilationEnableSignposts
000000018c7ab7c4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDeduplicationMode
000000018c7aad98 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDownconvertMode
000000018c7ab838 (__TEXT,__text) external _BNNSGraphCompileOptionsGetFileWriteFSyncBarrier
000000018c7aacb0 (__TEXT,__text) external _BNNSGraphCompileOptionsGetGenerateDebugInfo
000000018c7ab394 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOptimizationPreference
000000018c7ab1bc (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputFD
000000018c7ab128 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputPath
000000018c7ab8b4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPreallocateOutputFile
000000018c7aad24 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPredefinedOptimizations
000000018c7aaf68 (__TEXT,__text) external _BNNSGraphCompileOptionsGetTarget
000000018c7aac3c (__TEXT,__text) external _BNNSGraphCompileOptionsGetTargetSingleThread
000000018c7aae0c (__TEXT,__text) external _BNNSGraphCompileOptionsGetUpconvertMode
000000018c7ab5e4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetUserData
000000018c7aaef4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetValidateMILFile
000000018c7ab320 (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsFD
000000018c7ab28c (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsPath
000000018c7aa82c (__TEXT,__text) external _BNNSGraphCompileOptionsMakeDefault
000000018c7aae48 (__TEXT,__text) external _BNNSGraphCompileOptionsSetCompilationEnableSignposts
000000018c7ab78c (__TEXT,__text) external _BNNSGraphCompileOptionsSetDeduplicationMode
000000018c7aad60 (__TEXT,__text) external _BNNSGraphCompileOptionsSetDownconvertMode
000000018c7ab800 (__TEXT,__text) external _BNNSGraphCompileOptionsSetFileWriteFSyncBarrier
000000018c7aac78 (__TEXT,__text) external _BNNSGraphCompileOptionsSetGenerateDebugInfo
000000018c7ab708 (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogCallback
000000018c7ab754 (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogMask
000000018c7ab35c (__TEXT,__text) external _BNNSGraphCompileOptionsSetOptimizationPreference
000000018c7ab184 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputFD
000000018c7aafa4 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPath
000000018c7ab0b0 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissions
000000018c7ab018 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissionsAndProtectionClass
000000018c7ab87c (__TEXT,__text) external _BNNSGraphCompileOptionsSetPreallocateOutputFile
000000018c7aacec (__TEXT,__text) external _BNNSGraphCompileOptionsSetPredefinedOptimizations
000000018c7aaf30 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTarget
000000018c7aaaa0 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetSingleThread
000000018c7aadd4 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUpconvertMode
000000018c7ab3d0 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUserData
000000018c7aaebc (__TEXT,__text) external _BNNSGraphCompileOptionsSetValidateMILFile
000000018c7ab2e8 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsFD
000000018c7ab1f8 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsPathWithPermissions
000000018c695fb4 (__TEXT,__text) external _BNNSGraphContextCreate
000000018c695fe4 (__TEXT,__text) external _BNNSGraphContextDestroy
000000018c7aef30 (__TEXT,__text) external _BNNSGraphContextDestroy_v2
000000018c7b1e5c (__TEXT,__text) external _BNNSGraphContextEnableNanAndInfChecks
000000018c7b170c (__TEXT,__text) external _BNNSGraphContextEnablePerformanceData
000000018c7af6b0 (__TEXT,__text) external _BNNSGraphContextEnableSignposts
000000018c6963cc (__TEXT,__text) external _BNNSGraphContextExecute
000000018c7afae0 (__TEXT,__text) external _BNNSGraphContextExecute_v2
000000018c696344 (__TEXT,__text) external _BNNSGraphContextGetArgPosition
000000018c7af46c (__TEXT,__text) external _BNNSGraphContextGetArgumentPosition
000000018c695e04 (__TEXT,__text) external _BNNSGraphContextGetContextSize
000000018c7ae184 (__TEXT,__text) external _BNNSGraphContextGetTensor
000000018c695da0 (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor
000000018c7ad97c (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor_v2
000000018c69630c (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize
000000018c7af410 (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize_v2
000000018c696018 (__TEXT,__text) external _BNNSGraphContextInitialize
000000018c7aec20 (__TEXT,__text) external _BNNSGraphContextMake
000000018c7af038 (__TEXT,__text) external _BNNSGraphContextMakeExperimentalStateSupport
000000018c7b00a4 (__TEXT,__text) external _BNNSGraphContextMakeStreaming
000000018c7b1854 (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetExecutionCount
000000018c7b18d0 (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetTotalExecutionTime
000000018c7affe4 (__TEXT,__text) external _BNNSGraphContextReplaceAllFunctions
000000018c7afcf4 (__TEXT,__text) external _BNNSGraphContextReplaceFunctions
000000018c696390 (__TEXT,__text) external _BNNSGraphContextSetArgType
000000018c7afa40 (__TEXT,__text) external _BNNSGraphContextSetArgumentType
000000018c7af37c (__TEXT,__text) external _BNNSGraphContextSetBatchSize_v2
000000018c7b1e0c (__TEXT,__text) external _BNNSGraphContextSetDebugIntermediates_v3
000000018c6962b8 (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes
000000018c7af2d8 (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes_v2
000000018c6961cc (__TEXT,__text) external _BNNSGraphContextSetDynamicSizes
000000018c7afa90 (__TEXT,__text) external _BNNSGraphContextSetInternalValidation
000000018c7af93c (__TEXT,__text) external _BNNSGraphContextSetMessageLogCallback
000000018c7af9a0 (__TEXT,__text) external _BNNSGraphContextSetMessageLogMask
000000018c7af868 (__TEXT,__text) external _BNNSGraphContextSetOutputAllocationCallback_v2
