00007ffa42ae00c0 (__DATA,__data) non-external _.compoundliteral
00007ffa42ae0cf0 (__DATA,__data) non-external _.compoundliteral.19
00007ffa42ae1380 (__DATA,__data) non-external _.compoundliteral.44
00007ffa42ae2a00 (__DATA,__data) non-external _.compoundliteral.76
00007ffa419e7910 (__DATA_CONST,__const) non-external _ABIs
00007ffa1807c1f1 (__TEXT,__text) non-external (was a private external) _AddArray
00007ffa18094be3 (__TEXT,__text) non-external _AddAtomFixed
00007ffa1807c286 (__TEXT,__text) non-external (was a private external) _AddBinding
00007ffa1807c611 (__TEXT,__text) non-external (was a private external) _AddConstant
00007ffa180ecf2a (__TEXT,__text) non-external _AddConstantParam
00007ffa1807d57c (__TEXT,__text) non-external (was a private external) _AddOp
00007ffa180f0dfc (__TEXT,__text) non-external _AddOpToJumpTable
00007ffa1807c74e (__TEXT,__text) non-external (was a private external) _AddOpv
00007ffa1809951c (__TEXT,__text) non-external (was a private external) _AddSymbol
00007ffa1807c5fc (__TEXT,__text) non-external (was a private external) _AddTemp
00007ffa180e8bd4 (__TEXT,__text) non-external _AddTempRegister
00007ffa180e5127 (__TEXT,__text) non-external (was a private external) _BackCopyPropagationSimple
00007ffa180dc098 (__TEXT,__text) non-external (was a private external) _BitSetAndEquals
00007ffa180dc0f9 (__TEXT,__text) non-external (was a private external) _BitSetAndNotEquals
00007ffa180dbe82 (__TEXT,__text) non-external (was a private external) _BitSetClearEquals
00007ffa180dbd2f (__TEXT,__text) non-external (was a private external) _BitSetClone
00007ffa180dbd60 (__TEXT,__text) non-external (was a private external) _BitSetCloneWithAllocator
00007ffa180dbd82 (__TEXT,__text) non-external (was a private external) _BitSetCopyEquals
00007ffa180dc1bd (__TEXT,__text) non-external (was a private external) _BitSetEqualsTest
00007ffa180dbf65 (__TEXT,__text) non-external (was a private external) _BitSetFirstSetBit
00007ffa180dbde3 (__TEXT,__text) non-external (was a private external) _BitSetFree
00007ffa180dbe11 (__TEXT,__text) non-external (was a private external) _BitSetGetEquals
00007ffa180dbe08 (__TEXT,__text) non-external (was a private external) _BitSetGetSizeInBits
00007ffa180dbfc9 (__TEXT,__text) non-external (was a private external) _BitSetLastSetBit
00007ffa180dbb10 (__TEXT,__text) non-external (was a private external) _BitSetNew
00007ffa180dbb8c (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00007ffa180dbf74 (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00007ffa180dc025 (__TEXT,__text) non-external (was a private external) _BitSetOr
00007ffa180dc15c (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00007ffa180dbfd6 (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00007ffa180dbe46 (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00007ffa180dbebe (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00007ffa180dbc5e (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00007ffa180dbefc (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00007ffa180e704e (__TEXT,__text) non-external (was a private external) _BlockAdd
00007ffa180e799f (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffa180e7110 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffa180e7407 (__TEXT,__text) non-external (was a private external) _Blockify
00007ffa180e7a14 (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffa180e43e0 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffa180e4658 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffa180e455f (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffa18095a4a (__TEXT,__text) non-external _CPPelse
00007ffa18096520 (__TEXT,__text) non-external _CPPerror
00007ffa180966ef (__TEXT,__text) non-external _CPPextension
00007ffa18095c9a (__TEXT,__text) non-external _CPPif
00007ffa18095d5a (__TEXT,__text) non-external _CPPifdef
00007ffa18095e8f (__TEXT,__text) non-external _CPPinclude
00007ffa180960ee (__TEXT,__text) non-external _CPPline
00007ffa1809629f (__TEXT,__text) non-external _CPPpragma
00007ffa1809648b (__TEXT,__text) non-external _CPPundef
00007ffa180965f1 (__TEXT,__text) non-external _CPPversion
00007ffa180f0f3e (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffa180ef4b7 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffa180f0efd (__TEXT,__text) non-external _ClearJumpTable
00007ffa180ef459 (__TEXT,__text) non-external _ClearRegisterState
00007ffa180ed0af (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffa180e4f74 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffa180ed37c (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffa180e8d64 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffa1807d988 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffa180ea91d (__TEXT,__text) non-external _EmulateOp
00007ffa180ef419 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffa180ef3dd (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa18094d1d (__TEXT,__text) non-external _FindHashLoc
00007ffa180f11f9 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa1807c180 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa180e7caf (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa180e7b29 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa18094cb4 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa18095062 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa1809777f (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa17fb0ae4 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa17fb5dae (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa419e8390 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa18112f00 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa42ae0028 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa18112420 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa419ea3d0 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa18112f10 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa181123d0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa18094956 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa180e9e28 (__TEXT,__text) non-external _GetOpRegs
00007ffa180e7924 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa180ed324 (__TEXT,__text) non-external _GetRegChunk
00007ffa180e6184 (__TEXT,__text) non-external _GetRegister
00007ffa180ef347 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa180e8c59 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa180949a8 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa180f117c (__TEXT,__text) non-external _GetStreamArray
00007ffa18094ca0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa18094b11 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42adffe0 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa180e3e66 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa180e3e06 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa180e3f72 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa180e4098 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa180e4087 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa180e3d55 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa180e3ff7 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa180e41de (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa180e4148 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa180e4349 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa180e4100 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa180949c2 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa18094e88 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa1807c1c1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa18097734 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa180e6748 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa180e7020 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa180e6808 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa180e9f1f (__TEXT,__text) non-external _IsBadUsage
00007ffa1807db11 (__TEXT,__text) non-external (was a private external) _Load
00007ffa18094720 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa180947d2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa18099604 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa1809966f (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa18096840 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa18099ec0 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa18099467 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa180996b8 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa419e70b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa419e6d50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa419e72d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa419e7410 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa419e6f10 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa419e7010 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa419e7510 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa419e7080 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa17fac2af (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa17fac077 (__TEXT,__text) external _PPParserAttachStream
00007ffa17fabefe (__TEXT,__text) external _PPParserAttachString
00007ffa17fb4f22 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa17fabe0f (__TEXT,__text) external _PPParserCreate
00007ffa17fac91d (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa17fb3938 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa17fabfc9 (__TEXT,__text) external _PPParserFree
00007ffa17fac65a (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa17fb5d8d (__TEXT,__text) external _PPParserGetErrorString
00007ffa17fb5da4 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa17fac95c (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa17fb5d42 (__TEXT,__text) external _PPParserGetLimits
00007ffa17fb5d80 (__TEXT,__text) external _PPParserGetOptions
00007ffa17fac70e (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa17fac9fa (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa17fb5d9a (__TEXT,__text) external _PPParserGetStream
00007ffa17faaeef (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa17faaf19 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa17faafcb (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa17faaf5b (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa17fb5028 (__TEXT,__text) non-external _PPParserInherit
00007ffa17fabe85 (__TEXT,__text) external _PPParserInit
00007ffa17fb5e80 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa17fac040 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa17faab70 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa17faab8f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa17faacec (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa17faadaf (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa17faac7b (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa17faac4c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa17faad4a (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
