00007ff80e66f821 (__TEXT,__const) non-external _KW_ANY
00007ff80e66f785 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80e66f7d4 (__TEXT,__const) non-external _KW_CDATA
00007ff80e66f768 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80e66f78d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80e66f81b (__TEXT,__const) non-external _KW_EMPTY
00007ff80e66f7ea (__TEXT,__const) non-external _KW_ENTITIES
00007ff80e66f77e (__TEXT,__const) non-external _KW_ENTITY
00007ff80e66f815 (__TEXT,__const) non-external _KW_FIXED
00007ff80e66f7da (__TEXT,__const) non-external _KW_ID
00007ff80e66f7dd (__TEXT,__const) non-external _KW_IDREF
00007ff80e66f7e3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80e66f7a6 (__TEXT,__const) non-external _KW_IGNORE
00007ff80e66f804 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80e66f79e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80e66ff30 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80e66f7ad (__TEXT,__const) non-external _KW_NDATA
00007ff80e66f7f3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80e66f7fb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80e66f795 (__TEXT,__const) non-external _KW_NOTATION
00007ff80e66f825 (__TEXT,__const) non-external _KW_PCDATA
00007ff80e66f777 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80e66f80c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80e66f770 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80e66ff3b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80e66ff4a (__TEXT,__const) non-external _KW_UTF_16
00007ff80e66ff51 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80e66ff5a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80e66ff44 (__TEXT,__const) non-external _KW_UTF_8
00007ff80e66ff71 (__TEXT,__const) non-external _KW_encoding
00007ff80e66ff89 (__TEXT,__const) non-external _KW_no
00007ff80e66ff7a (__TEXT,__const) non-external _KW_standalone
00007ff80e66ff69 (__TEXT,__const) non-external _KW_version
00007ff80e66ff85 (__TEXT,__const) non-external _KW_yes
00007ff80e658f48 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80e659062 (__TEXT,__text) external _XML_ErrorString
00007ff80e659083 (__TEXT,__text) external _XML_ExpatVersion
00007ff80e659090 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80e6574c2 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80e658eee (__TEXT,__text) external _XML_FreeContentModel
00007ff80e6583ab (__TEXT,__text) external _XML_GetBase
00007ff80e6588aa (__TEXT,__text) external _XML_GetBuffer
00007ff80e658ddd (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80e658db4 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80e658e98 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80e658e3f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80e658d9d (__TEXT,__text) external _XML_GetErrorCode
00007ff80e6590a2 (__TEXT,__text) external _XML_GetFeatureList
00007ff8408ef2c0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80e6583d7 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80e658e06 (__TEXT,__text) external _XML_GetInputContext
00007ff80e658d7c (__TEXT,__text) external _XML_GetParsingStatus
00007ff80e66f124 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80e6583c0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80e658f33 (__TEXT,__text) external _XML_MemFree
00007ff80e658f03 (__TEXT,__text) external _XML_MemMalloc
00007ff80e658f1a (__TEXT,__text) external _XML_MemRealloc
00007ff80e658672 (__TEXT,__text) external _XML_Parse
00007ff80e658adc (__TEXT,__text) external _XML_ParseBuffer
00007ff80e656afc (__TEXT,__text) external _XML_ParserCreate
00007ff80e656b18 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80e656b0c (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80e657ebb (__TEXT,__text) external _XML_ParserFree
00007ff80e656e32 (__TEXT,__text) external _XML_ParserReset
00007ff80e658ca8 (__TEXT,__text) external _XML_ResumeParser
00007ff80e6585e0 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80e658304 (__TEXT,__text) external _XML_SetBase
00007ff80e6590e9 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80e6590af (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80e658452 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80e65841f (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80e658440 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80e65848f (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80e6584a8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80e6584c1 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80e6585ce (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80e6583ee (__TEXT,__text) external _XML_SetElementHandler
00007ff80e657411 (__TEXT,__text) external _XML_SetEncoding
00007ff80e65847d (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80e6584ec (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80e658410 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80e65854d (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80e6585f2 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80e658571 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80e658583 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80e65863c (__TEXT,__text) external _XML_SetHashSalt
00007ff80e658522 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80e65855f (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80e658510 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80e658616 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80e65842e (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80e6582c7 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80e6585a3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80e65846b (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80e6584da (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
