0000000268919888 (__TEXT,__text) non-external _Done_iODBC
00000002689389b0 (__TEXT,__const) non-external _FunctionNumbers
00000002689377b8 (__TEXT,__text) non-external _GetPrivateProfileString
00000002689196f8 (__TEXT,__text) non-external _Init_iODBC
00000002812604fc (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000268917ddc (__TEXT,__text) external _SQLAllocConnect
0000000268917cdc (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000000268919668 (__TEXT,__text) external _SQLAllocEnv
00000002689194b4 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000268923700 (__TEXT,__text) external _SQLAllocHandle
0000000268923818 (__TEXT,__text) non-external _SQLAllocHandleStd
0000000268923460 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000026891c39c (__TEXT,__text) external _SQLAllocStmt
000000026891be6c (__TEXT,__text) non-external _SQLAllocStmt_Internal
0000000268921408 (__TEXT,__text) external _SQLBindCol
000000026892949c (__TEXT,__text) external _SQLBindParam
00000002689208e8 (__TEXT,__text) external _SQLBindParameter
00000002689149fc (__TEXT,__text) external _SQLBrowseConnect
0000000268914b44 (__TEXT,__text) external _SQLBrowseConnectA
0000000268914c8c (__TEXT,__text) external _SQLBrowseConnectW
00000002689144a4 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0000000268928f98 (__TEXT,__text) external _SQLBulkOperations
000000026891d2f0 (__TEXT,__text) external _SQLCancel
00000002689294e0 (__TEXT,__text) external _SQLCloseCursor
00000002689289d8 (__TEXT,__text) external _SQLColAttribute
0000000268928b80 (__TEXT,__text) external _SQLColAttributeA
0000000268928d28 (__TEXT,__text) external _SQLColAttributeW
000000026892832c (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000268922f68 (__TEXT,__text) external _SQLColAttributes
0000000268923110 (__TEXT,__text) external _SQLColAttributesA
00000002689232b8 (__TEXT,__text) external _SQLColAttributesW
0000000268922ae0 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000026890d92c (__TEXT,__text) external _SQLColumnPrivileges
000000026890db08 (__TEXT,__text) external _SQLColumnPrivilegesA
000000026890dce4 (__TEXT,__text) external _SQLColumnPrivilegesW
000000026890d69c (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000026890e150 (__TEXT,__text) external _SQLColumns
000000026890e32c (__TEXT,__text) external _SQLColumnsA
000000026890e508 (__TEXT,__text) external _SQLColumnsW
000000026890dec0 (__TEXT,__text) non-external _SQLColumns_Internal
0000000268911df8 (__TEXT,__text) external _SQLConnect
0000000268912588 (__TEXT,__text) external _SQLConnectA
00000002689126e8 (__TEXT,__text) external _SQLConnectW
0000000268911f58 (__TEXT,__text) non-external _SQLConnect_Internal
0000000268938438 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002689281b0 (__TEXT,__text) external _SQLCopyDesc
000000026891de00 (__TEXT,__text) external _SQLDataSources
000000026891df48 (__TEXT,__text) external _SQLDataSourcesA
000000026891e090 (__TEXT,__text) external _SQLDataSourcesW
000000026891d994 (__TEXT,__text) non-external _SQLDataSources_Internal
0000000281260480 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00000002812604a0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00000002812604a8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000026892254c (__TEXT,__text) external _SQLDescribeCol
