                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAbsoluteTimeGetGregorianDate (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFCalendarComposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarCreateWithIdentifier (from CoreFoundation)
                 (undefined) external _CFCalendarSetTimeZone (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValueIfPresent (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFTimeZoneCopyDefault (from CoreFoundation)
                 (undefined) external _CFTimeZoneCreateWithName (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextClearRect (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
                 (undefined) external _CGContextRelease (from CoreGraphics)
                 (undefined) external _CGImageDestinationAddImage (from ImageIO)
                 (undefined) external _CGImageDestinationCreateWithData (from ImageIO)
                 (undefined) external _CGImageDestinationFinalize (from ImageIO)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageSourceCopyPropertiesAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateImageAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateThumbnailAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithURL (from ImageIO)
00007ff818ae6f68 (__TEXT,__text) external _ICACloseSession
00007ff818ae8781 (__TEXT,__text) external _ICAConvertJPEGDataToICADataInPlace
00007ff818ae831f (__TEXT,__text) external _ICAConvertTIFFDataToICADataInPlace
00007ff818ae6d10 (__TEXT,__text) external _ICACopyMatchingDeviceDictionaries
00007ff818ae6d4c (__TEXT,__text) external _ICACopyObjectData
00007ff818ae697a (__TEXT,__text) external _ICACopyObjectPropertyDictionary
00007ff818ae69b6 (__TEXT,__text) non-external (was a private external) _ICACopyObjectPropertyDictionary_Deprecated
00007ff818ae6a2e (__TEXT,__text) external _ICACopyObjectThumbnail
00007ff818ae6c5c (__TEXT,__text) external _ICACopyParameterBlockPtrForAsyncCall
00007ff818ae8886 (__TEXT,__text) external _ICACreateCutsomIconForImageAtPath
00007ff818ae81b5 (__TEXT,__text) external _ICACreateJPEGThumbnailDataFromURL
00007ff818ae7b96 (__TEXT,__text) external _ICADictionaryApplierFunction
00007ff818ae6c98 (__TEXT,__text) external _ICADoMacho2CFMConversion
00007ff818ae6a6a (__TEXT,__text) external _ICADownloadFile
00007ff818ae6d88 (__TEXT,__text) external _ICADownloadFileWithOptions
00007ff818ae7bb3 (__TEXT,__text) external _ICAElapsedTime
00007ff818ae888e (__TEXT,__text) non-external (was a private external) _ICAGetApplicationSupportPath
00007ff818ae69f2 (__TEXT,__text) external _ICAGetBehaviorFlags
00007ff818ae7184 (__TEXT,__text) external _ICAGetChildCount
00007ff818ae7bd0 (__TEXT,__text) external _ICAGetDateFromSeconds
00007ff818ae7ce5 (__TEXT,__text) external _ICAGetDateFromSecondsSince1904
00007ff818ae7cf4 (__TEXT,__text) external _ICAGetDateFromSecondsSince1970
00007ff818ae6752 (__TEXT,__text) external _ICAGetDeviceList
00007ff818ae678e (__TEXT,__text) non-external (was a private external) _ICAGetDeviceList_Deprecated
00007ff818ae7f7d (__TEXT,__text) external _ICAGetEXIFDateCStringFromSecondsSince1904
00007ff818ae800b (__TEXT,__text) external _ICAGetEXIFDateCStringFromSecondsSince1970
00007ff818ae8099 (__TEXT,__text) external _ICAGetEXIFUTCDateCStringFromSecondsSince1904
00007ff818ae8127 (__TEXT,__text) external _ICAGetEXIFUTCDateCStringFromSecondsSince1970
00007ff818ae878e (__TEXT,__text) external _ICAGetICAObjectForFile
00007ff818ae7ade (__TEXT,__text) external _ICAGetICAObjectFromDict
00007ff818ae6b91 (__TEXT,__text) external _ICAGetLongValueFromDict
00007ff818ae6b55 (__TEXT,__text) external _ICAGetNthChild
00007ff818ae7328 (__TEXT,__text) external _ICAGetNthProperty
00007ff818ae71c0 (__TEXT,__text) external _ICAGetObjectInfo
00007ff818ae7274 (__TEXT,__text) external _ICAGetObjectRefCon
00007ff818ae71fc (__TEXT,__text) external _ICAGetParentOfObject
00007ff818ae73dc (__TEXT,__text) external _ICAGetParentOfProperty
00007ff818ae7364 (__TEXT,__text) external _ICAGetPropertyByType
00007ff818ae72ec (__TEXT,__text) external _ICAGetPropertyCount
00007ff818ae7454 (__TEXT,__text) external _ICAGetPropertyData
00007ff818ae73a0 (__TEXT,__text) external _ICAGetPropertyInfo
00007ff818ae74cc (__TEXT,__text) external _ICAGetPropertyRefCon
00007ff818ae7238 (__TEXT,__text) external _ICAGetRootOfObject
00007ff818ae7418 (__TEXT,__text) external _ICAGetRootOfProperty
00007ff818ae6898 (__TEXT,__text) external _ICAGetSInt16ValueFromDict
00007ff818ae68eb (__TEXT,__text) external _ICAGetSInt32ValueFromDict
00007ff818ae79ba (__TEXT,__text) external _ICAGetSInt64ValueFromDict
00007ff818ae7d03 (__TEXT,__text) external _ICAGetUTCDateFromDateCString
00007ff818ae7e4c (__TEXT,__text) external _ICAGetUTCDateFromSeconds
00007ff818ae7f5f (__TEXT,__text) external _ICAGetUTCDateFromSecondsSince1904
00007ff818ae7f6e (__TEXT,__text) non-external (was a private external) _ICAGetUTCDateFromSecondsSince1970
00007ff818ae6be4 (__TEXT,__text) external _ICAImportImage
00007ff818ae6e3c (__TEXT,__text) external _ICALoadDeviceModule
00007ff818ae6e00 (__TEXT,__text) non-external (was a private external) _ICALoadDeviceModule_Deprecated
00007ff818ae6aa6 (__TEXT,__text) external _ICAObjectSendMessage
00007ff818ae6f2c (__TEXT,__text) external _ICAOpenSession
00007ff818ae6ef0 (__TEXT,__text) non-external (was a private external) _ICAOpenSession_Deprecated
00007ff818ae693e (__TEXT,__text) external _ICARegisterEventNotification
00007ff818ae6ae2 (__TEXT,__text) external _ICARegisterForEventNotification
00007ff818ae701c (__TEXT,__text) external _ICAScannerCloseSession
00007ff818ae6fe0 (__TEXT,__text) non-external (was a private external) _ICAScannerCloseSession_Deprecated
00007ff818ae7094 (__TEXT,__text) external _ICAScannerGetParameters
00007ff818ae7058 (__TEXT,__text) external _ICAScannerInitialize
00007ff818ae6fa4 (__TEXT,__text) external _ICAScannerOpenSession
00007ff818ae70d0 (__TEXT,__text) external _ICAScannerSetParameters
00007ff818ae7148 (__TEXT,__text) external _ICAScannerStart
00007ff818ae710c (__TEXT,__text) external _ICAScannerStatus
00007ff818ae7760 (__TEXT,__text) non-external (was a private external) _ICASendNotification
00007ff818ae77d8 (__TEXT,__text) non-external (was a private external) _ICASendNotificationAndWaitForReply
00007ff818ae779c (__TEXT,__text) non-external (was a private external) _ICASendNotificationAndWaitForReply_Deprecated
00007ff818ae7724 (__TEXT,__text) non-external (was a private external) _ICASendNotification_Deprecated
00007ff818ae6b1e (__TEXT,__text) external _ICASetBehaviorFlags
00007ff818ae887e (__TEXT,__text) non-external (was a private external) _ICASetFinderComment
00007ff818ae7b36 (__TEXT,__text) external _ICASetICAObjectInDict
00007ff818ae6831 (__TEXT,__text) external _ICASetLongValueInDict
00007ff818ae72b0 (__TEXT,__text) external _ICASetObjectRefCon
00007ff818ae7490 (__TEXT,__text) external _ICASetPropertyData
00007ff818ae7508 (__TEXT,__text) external _ICASetPropertyRefCon
00007ff818ae7953 (__TEXT,__text) external _ICASetSInt16ValueInDict
00007ff818ae67ca (__TEXT,__text) external _ICASetSInt32ValueInDict
00007ff818ae7a0d (__TEXT,__text) external _ICASetSInt64ValueInDict
00007ff818ae7a74 (__TEXT,__text) external _ICASetUTF8StringInDict
00007ff818ae7850 (__TEXT,__text) external _ICASharedMemoryCreate
00007ff818ae788c (__TEXT,__text) external _ICASharedMemoryDestroy
00007ff818ae78c8 (__TEXT,__text) external _ICASharedMemoryMap
00007ff818ae7904 (__TEXT,__text) external _ICASharedMemoryUnmap
00007ff818ae6c20 (__TEXT,__text) external _ICAShowDeviceBrowser
00007ff818ae6eb4 (__TEXT,__text) external _ICAUnloadDeviceModule
00007ff818ae6e78 (__TEXT,__text) non-external (was a private external) _ICAUnloadDeviceModule_Deprecated
00007ff818ae6cd4 (__TEXT,__text) external _ICAUpdateDeviceDictionary
00007ff818ae6dc4 (__TEXT,__text) external _ICAUploadFile
00007ff818ae7634 (__TEXT,__text) external _ICDBulkNewObject
00007ff818ae76e8 (__TEXT,__text) external _ICDBulkNewProperty
00007ff818ae7814 (__TEXT,__text) external _ICDDeviceNotification
00007ff818ae7544 (__TEXT,__text) external _ICDDeviceRegister
00007ff818ae7580 (__TEXT,__text) external _ICDDeviceUnRegister
00007ff818ae75f8 (__TEXT,__text) external _ICDDisposeObject
00007ff818ae76ac (__TEXT,__text) external _ICDDisposeProperty
00007ff818ae75bc (__TEXT,__text) external _ICDNewObject
00007ff818ae7670 (__TEXT,__text) external _ICDNewProperty
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff842e42604 (__DATA,__data) non-external (was a private external) __gExecutableArchitecture
00007ff842e42600 (__DATA,__data) non-external (was a private external) __gICABehaviorFlags
00007ff842e42609 (__DATA,__common) non-external (was a private external) __gLogInternal
00007ff842e42608 (__DATA,__common) non-external (was a private external) __gLoggedDeprecated
00007ff842e4260a (__DATA,__common) non-external (was a private external) __gPreLeopardExecutable
