00007fff77d341e4 (__TEXT,__text) non-external _Done_iODBC
00007fff77d52220 (__TEXT,__const) non-external _FunctionNumbers
00007fff77d50f6a (__TEXT,__text) non-external _GetPrivateProfileString
00007fff77d340c6 (__TEXT,__text) non-external _Init_iODBC
00007fff86949cac (__DATA,__common) non-external _ODBCSharedTraceFlag
00007fff77d3275d (__TEXT,__text) external _SQLAllocConnect
00007fff77d3262c (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007fff77d34051 (__TEXT,__text) external _SQLAllocEnv
00007fff77d33ea2 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007fff77d3e75c (__TEXT,__text) external _SQLAllocHandle
00007fff77d3e851 (__TEXT,__text) non-external _SQLAllocHandleStd
00007fff77d3e4c0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007fff77d3718d (__TEXT,__text) external _SQLAllocStmt
00007fff77d36bad (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007fff77d3c381 (__TEXT,__text) external _SQLBindCol
00007fff77d44857 (__TEXT,__text) external _SQLBindParam
00007fff77d3b654 (__TEXT,__text) external _SQLBindParameter
00007fff77d2f514 (__TEXT,__text) external _SQLBrowseConnect
00007fff77d2f67f (__TEXT,__text) external _SQLBrowseConnectA
00007fff77d2f7ea (__TEXT,__text) external _SQLBrowseConnectW
00007fff77d2eecc (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007fff77d4432d (__TEXT,__text) external _SQLBulkOperations
00007fff77d38128 (__TEXT,__text) external _SQLCancel
00007fff77d44883 (__TEXT,__text) external _SQLCloseCursor
00007fff77d43d34 (__TEXT,__text) external _SQLColAttribute
00007fff77d43ef5 (__TEXT,__text) external _SQLColAttributeA
00007fff77d440b6 (__TEXT,__text) external _SQLColAttributeW
00007fff77d43566 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007fff77d3df7b (__TEXT,__text) external _SQLColAttributes
00007fff77d3e13c (__TEXT,__text) external _SQLColAttributesA
00007fff77d3e2fd (__TEXT,__text) external _SQLColAttributesW
00007fff77d3dabb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007fff77d2786f (__TEXT,__text) external _SQLColumnPrivileges
00007fff77d27a49 (__TEXT,__text) external _SQLColumnPrivilegesA
00007fff77d27c23 (__TEXT,__text) external _SQLColumnPrivilegesW
00007fff77d275bf (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007fff77d280ad (__TEXT,__text) external _SQLColumns
00007fff77d28287 (__TEXT,__text) external _SQLColumnsA
00007fff77d28461 (__TEXT,__text) external _SQLColumnsW
00007fff77d27dfd (__TEXT,__text) non-external _SQLColumns_Internal
00007fff77d2c129 (__TEXT,__text) external _SQLConnect
00007fff77d2cac0 (__TEXT,__text) external _SQLConnectA
00007fff77d2cc4c (__TEXT,__text) external _SQLConnectW
00007fff77d2c2b5 (__TEXT,__text) non-external _SQLConnect_Internal
00007fff77d51cda (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007fff77d433e4 (__TEXT,__text) external _SQLCopyDesc
00007fff77d38c3c (__TEXT,__text) external _SQLDataSources
00007fff77d38d62 (__TEXT,__text) external _SQLDataSourcesA
00007fff77d38e88 (__TEXT,__text) external _SQLDataSourcesW
00007fff77d387e0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007fff86949c30 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007fff86949c50 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007fff86949c58 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007fff77d3d4eb (__TEXT,__text) external _SQLDescribeCol
00007fff77d3d6db (__TEXT,__text) external _SQLDescribeColA
00007fff77d3d8cb (__TEXT,__text) external _SQLDescribeColW
00007fff77d3d240 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007fff77d3149d (__TEXT,__text) external _SQLDescribeParam
00007fff77d2f955 (__TEXT,__text) external _SQLDisconnect
00007fff77d2ea31 (__TEXT,__text) external _SQLDriverConnect
00007fff77d2ebba (__TEXT,__text) external _SQLDriverConnectA
00007fff77d2ed43 (__TEXT,__text) external _SQLDriverConnectW
00007fff77d2cdd8 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007fff77d51cfd (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007fff77d51d20 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007fff77d394ec (__TEXT,__text) external _SQLDrivers
00007fff77d39612 (__TEXT,__text) external _SQLDriversA
00007fff77d39738 (__TEXT,__text) external _SQLDriversW
00007fff77d390d3 (__TEXT,__text) non-external _SQLDrivers_Internal
00007fff86949c34 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007fff86949c60 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007fff86949c68 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007fff77d44277 (__TEXT,__text) external _SQLEndTran
00007fff77d34b34 (__TEXT,__text) external _SQLError
00007fff77d34c19 (__TEXT,__text) external _SQLErrorA
00007fff77d34cfe (__TEXT,__text) external _SQLErrorW
00007fff77d309b8 (__TEXT,__text) external _SQLExecDirect
00007fff77d30afd (__TEXT,__text) external _SQLExecDirectA
00007fff77d30c42 (__TEXT,__text) external _SQLExecDirectW
00007fff77d3076c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007fff77d304a4 (__TEXT,__text) external _SQLExecute
00007fff77d31b9e (__TEXT,__text) external _SQLExtendedFetch
00007fff77d31900 (__TEXT,__text) external _SQLFetch
00007fff77d44547 (__TEXT,__text) external _SQLFetchScroll
00007fff77d31744 (__TEXT,__text) non-external _SQLFetch_Internal
00007fff77d289bd (__TEXT,__text) external _SQLForeignKeys
00007fff77d28be2 (__TEXT,__text) external _SQLForeignKeysA
00007fff77d28e07 (__TEXT,__text) external _SQLForeignKeysW
00007fff77d2863b (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007fff77d328a2 (__TEXT,__text) external _SQLFreeConnect
00007fff77d32801 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007fff77d34164 (__TEXT,__text) external _SQLFreeEnv
00007fff77d340f3 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007fff77d3e949 (__TEXT,__text) external _SQLFreeHandle
00007fff77d3760a (__TEXT,__text) external _SQLFreeStmt
00007fff77d373bb (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007fff77d4e907 (__TEXT,__text) non-external _SQLGetConfigMode
00007fff77d4163d (__TEXT,__text) external _SQLGetConnectAttr
00007fff77d41b1b (__TEXT,__text) external _SQLGetConnectAttrA
00007fff77d41c73 (__TEXT,__text) external _SQLGetConnectAttrW
00007fff77d41795 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007fff77d33773 (__TEXT,__text) external _SQLGetConnectOption
00007fff77d3389c (__TEXT,__text) external _SQLGetConnectOptionA
00007fff77d339c5 (__TEXT,__text) external _SQLGetConnectOptionW
00007fff77d3c96d (__TEXT,__text) external _SQLGetCursorName
00007fff77d3cac8 (__TEXT,__text) external _SQLGetCursorNameA
00007fff77d3cc23 (__TEXT,__text) external _SQLGetCursorNameW
00007fff77d3c755 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007fff77d31d21 (__TEXT,__text) external _SQLGetData
00007fff77d42049 (__TEXT,__text) external _SQLGetDescField
00007fff77d421c3 (__TEXT,__text) external _SQLGetDescFieldA
00007fff77d4233d (__TEXT,__text) external _SQLGetDescFieldW
00007fff77d41dcb (__TEXT,__text) non-external _SQLGetDescField_Internal
00007fff77d42c86 (__TEXT,__text) external _SQLGetDescRec
00007fff77d42e28 (__TEXT,__text) external _SQLGetDescRecA
00007fff77d42fca (__TEXT,__text) external _SQLGetDescRecW
00007fff77d42a7d (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007fff77d368ec (__TEXT,__text) external _SQLGetDiagField
00007fff77d369d7 (__TEXT,__text) external _SQLGetDiagFieldA
00007fff77d36ac2 (__TEXT,__text) external _SQLGetDiagFieldW
00007fff77d3580e (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007fff77d35538 (__TEXT,__text) external _SQLGetDiagRec
00007fff77d3562a (__TEXT,__text) external _SQLGetDiagRecA
00007fff77d3571c (__TEXT,__text) external _SQLGetDiagRecW
00007fff77d34de3 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007fff77d3f050 (__TEXT,__text) external _SQLGetEnvAttr
00007fff77d3a476 (__TEXT,__text) external _SQLGetFunctions
00007fff77d3a050 (__TEXT,__text) external _SQLGetInfo
00007fff77d3a1b2 (__TEXT,__text) external _SQLGetInfoA
00007fff77d3a314 (__TEXT,__text) external _SQLGetInfoW
00007fff77d39983 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007fff77d516cd (__TEXT,__text) non-external _SQLGetKeywordValue
00007fff77d51706 (__TEXT,__text) non-external _SQLGetKeywordValueW
00007fff77d51106 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007fff77d51375 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007fff77d3fa58 (__TEXT,__text) external _SQLGetStmtAttr
00007fff77d3fbc3 (__TEXT,__text) external _SQLGetStmtAttrA
00007fff77d3fd2e (__TEXT,__text) external _SQLGetStmtAttrW
00007fff77d3f21f (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007fff77d37ea2 (__TEXT,__text) external _SQLGetStmtOption
00007fff77d37fe5 (__TEXT,__text) external _SQLGetStmtOptionA
00007fff77d37caa (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007fff77d258b9 (__TEXT,__text) external _SQLGetTypeInfo
00007fff77d259e4 (__TEXT,__text) external _SQLGetTypeInfoA
00007fff77d25b0f (__TEXT,__text) external _SQLGetTypeInfoW
00007fff77d25720 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007fff77d320af (__TEXT,__text) external _SQLMoreResults
00007fff77d2fd5a (__TEXT,__text) external _SQLNativeSql
00007fff77d2fed1 (__TEXT,__text) external _SQLNativeSqlA
00007fff77d30048 (__TEXT,__text) external _SQLNativeSqlW
00007fff77d2fabf (__TEXT,__text) non-external _SQLNativeSql_Internal
00007fff77d31295 (__TEXT,__text) external _SQLNumParams
00007fff77d3d062 (__TEXT,__text) external _SQLNumResultCols
00007fff77d3100b (__TEXT,__text) external _SQLParamData
00007fff77d3bb0b (__TEXT,__text) external _SQLParamOptions
00007fff77d3acfd (__TEXT,__text) external _SQLPrepare
00007fff77d3ae42 (__TEXT,__text) external _SQLPrepareA
00007fff77d3af87 (__TEXT,__text) external _SQLPrepareW
00007fff77d3ab08 (__TEXT,__text) non-external _SQLPrepare_Internal
00007fff77d29278 (__TEXT,__text) external _SQLPrimaryKeys
00007fff77d29463 (__TEXT,__text) external _SQLPrimaryKeysA
00007fff77d2964e (__TEXT,__text) external _SQLPrimaryKeysW
00007fff77d2902c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007fff77d29ae9 (__TEXT,__text) external _SQLProcedureColumns
00007fff77d29cc3 (__TEXT,__text) external _SQLProcedureColumnsA
00007fff77d29e9d (__TEXT,__text) external _SQLProcedureColumnsW
00007fff77d29839 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007fff77d2a2c3 (__TEXT,__text) external _SQLProcedures
