000000027ed60888 (__TEXT,__text) non-external _Done_iODBC
000000027ed7f9b0 (__TEXT,__const) non-external _FunctionNumbers
000000027ed7e7b0 (__TEXT,__text) non-external _GetPrivateProfileString
000000027ed606f8 (__TEXT,__text) non-external _Init_iODBC
00000002983146e4 (__DATA,__common) non-external _ODBCSharedTraceFlag
000000027ed5eddc (__TEXT,__text) external _SQLAllocConnect
000000027ed5ecdc (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000027ed60668 (__TEXT,__text) external _SQLAllocEnv
000000027ed604b4 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000027ed6a6f8 (__TEXT,__text) external _SQLAllocHandle
000000027ed6a810 (__TEXT,__text) non-external _SQLAllocHandleStd
000000027ed6a458 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000027ed63394 (__TEXT,__text) external _SQLAllocStmt
000000027ed62e64 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000027ed68400 (__TEXT,__text) external _SQLBindCol
000000027ed70494 (__TEXT,__text) external _SQLBindParam
000000027ed678e0 (__TEXT,__text) external _SQLBindParameter
000000027ed5b9fc (__TEXT,__text) external _SQLBrowseConnect
000000027ed5bb44 (__TEXT,__text) external _SQLBrowseConnectA
000000027ed5bc8c (__TEXT,__text) external _SQLBrowseConnectW
000000027ed5b4a4 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000027ed6ff90 (__TEXT,__text) external _SQLBulkOperations
000000027ed642e8 (__TEXT,__text) external _SQLCancel
000000027ed704d8 (__TEXT,__text) external _SQLCloseCursor
000000027ed6f9d0 (__TEXT,__text) external _SQLColAttribute
000000027ed6fb78 (__TEXT,__text) external _SQLColAttributeA
000000027ed6fd20 (__TEXT,__text) external _SQLColAttributeW
000000027ed6f324 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000027ed69f60 (__TEXT,__text) external _SQLColAttributes
000000027ed6a108 (__TEXT,__text) external _SQLColAttributesA
000000027ed6a2b0 (__TEXT,__text) external _SQLColAttributesW
000000027ed69ad8 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000027ed5492c (__TEXT,__text) external _SQLColumnPrivileges
000000027ed54b08 (__TEXT,__text) external _SQLColumnPrivilegesA
000000027ed54ce4 (__TEXT,__text) external _SQLColumnPrivilegesW
000000027ed5469c (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000027ed55150 (__TEXT,__text) external _SQLColumns
000000027ed5532c (__TEXT,__text) external _SQLColumnsA
000000027ed55508 (__TEXT,__text) external _SQLColumnsW
000000027ed54ec0 (__TEXT,__text) non-external _SQLColumns_Internal
000000027ed58df8 (__TEXT,__text) external _SQLConnect
000000027ed59588 (__TEXT,__text) external _SQLConnectA
000000027ed596e8 (__TEXT,__text) external _SQLConnectW
000000027ed58f58 (__TEXT,__text) non-external _SQLConnect_Internal
000000027ed7f430 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000027ed6f1a8 (__TEXT,__text) external _SQLCopyDesc
000000027ed64df8 (__TEXT,__text) external _SQLDataSources
000000027ed64f40 (__TEXT,__text) external _SQLDataSourcesA
000000027ed65088 (__TEXT,__text) external _SQLDataSourcesW
000000027ed6498c (__TEXT,__text) non-external _SQLDataSources_Internal
0000000298314668 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000298314688 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000298314690 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000027ed69544 (__TEXT,__text) external _SQLDescribeCol
000000027ed69720 (__TEXT,__text) external _SQLDescribeColA
000000027ed698fc (__TEXT,__text) external _SQLDescribeColW
000000027ed69298 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000027ed5db54 (__TEXT,__text) external _SQLDescribeParam
000000027ed5bdd4 (__TEXT,__text) external _SQLDisconnect
000000027ed5b030 (__TEXT,__text) external _SQLDriverConnect
000000027ed5b1ac (__TEXT,__text) external _SQLDriverConnectA
000000027ed5b328 (__TEXT,__text) external _SQLDriverConnectW
000000027ed59848 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000027ed7f45c (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000027ed7f488 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000027ed656b8 (__TEXT,__text) external _SQLDrivers
000000027ed65800 (__TEXT,__text) external _SQLDriversA
000000027ed65948 (__TEXT,__text) external _SQLDriversW
000000027ed652c4 (__TEXT,__text) non-external _SQLDrivers_Internal
000000029831466c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
0000000298314698 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00000002983146a0 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000027ed6fec8 (__TEXT,__text) external _SQLEndTran
000000027ed61048 (__TEXT,__text) external _SQLError
000000027ed61170 (__TEXT,__text) external _SQLErrorA
000000027ed61298 (__TEXT,__text) external _SQLErrorW
000000027ed5d01c (__TEXT,__text) external _SQLExecDirect
000000027ed5d16c (__TEXT,__text) external _SQLExecDirectA
000000027ed5d2bc (__TEXT,__text) external _SQLExecDirectW
000000027ed5cdb0 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000027ed5cacc (__TEXT,__text) external _SQLExecute
000000027ed5e268 (__TEXT,__text) external _SQLExtendedFetch
000000027ed5df9c (__TEXT,__text) external _SQLFetch
000000027ed7017c (__TEXT,__text) external _SQLFetchScroll
000000027ed5ddc8 (__TEXT,__text) non-external _SQLFetch_Internal
000000027ed55a34 (__TEXT,__text) external _SQLForeignKeys
000000027ed55d00 (__TEXT,__text) external _SQLForeignKeysA
000000027ed55fcc (__TEXT,__text) external _SQLForeignKeysW
000000027ed556e4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000027ed5ef48 (__TEXT,__text) external _SQLFreeConnect
