000000022530e3f4 (__TEXT,__text) non-external +[LNAppConnectionListener sharedListener]
0000000225316b0c (__TEXT,__text) non-external +[LNClientConnection currentAuditToken]
0000000225316aa0 (__TEXT,__text) non-external +[LNClientConnection performWithoutTimeout:]
000000022531001c (__TEXT,__text) non-external +[LNProcessInstanceRegistryClient sharedInstance]
000000022530dd24 (__TEXT,__text) non-external +[LNUserActivityHelper associateAppIntentWithUserActivity:completionHandler:]
0000000225317ae4 (__TEXT,__text) non-external -[CSSearchableItemAttributeSet(Temporary) setCachedViewDataSafe:]
000000022530dd30 (__TEXT,__text) non-external -[LNAppConnectionListener handleAppleEvent:withReplyEvent:]
000000022530e39c (__TEXT,__text) non-external -[LNAppConnectionListener listenerEndpoint]
000000022530f164 (__TEXT,__text) non-external -[LNAppContextWrapper .cxx_destruct]
000000022530f170 (__TEXT,__text) non-external -[LNAppContextWrapper appContext]
000000022530f270 (__TEXT,__text) non-external -[LNAppContextWrapper init]
000000022530f178 (__TEXT,__text) non-external -[LNAppContextWrapper performAction:options:reportingProgress:delegate:auditToken:completionHandler:]
00000002253100b0 (__TEXT,__text) non-external -[LNClientConnection .cxx_destruct]
0000000225310158 (__TEXT,__text) non-external -[LNClientConnection appContext]
00000002253167d4 (__TEXT,__text) non-external -[LNClientConnection clientConnectionQueue]
0000000225310114 (__TEXT,__text) non-external -[LNClientConnection connectionListener]
0000000225310b68 (__TEXT,__text) non-external -[LNClientConnection createAsyncIteratorForSequence:options:completionHandler:]
0000000225316860 (__TEXT,__text) non-external -[LNClientConnection dealloc]
0000000225316670 (__TEXT,__text) non-external -[LNClientConnection enqueuePerformActionOperation:]
00000002253119b8 (__TEXT,__text) non-external -[LNClientConnection exportTransientEntities:withConfiguration:completionHandler:]
0000000225313080 (__TEXT,__text) non-external -[LNClientConnection fetchActionAppContextFromAction:completionHandler:]
0000000225312c50 (__TEXT,__text) non-external -[LNClientConnection fetchActionForAppShortcutIdentifier:completionHandler:]
0000000225312e68 (__TEXT,__text) non-external -[LNClientConnection fetchActionForAutoShortcutPhrase:completionHandler:]
0000000225313b00 (__TEXT,__text) non-external -[LNClientConnection fetchActionOutputValueWithIdentifier:completionHandler:]
000000022531255c (__TEXT,__text) non-external -[LNClientConnection fetchAppShortcutParametersForMangledName:withCompletionHandler:]
0000000225314f28 (__TEXT,__text) non-external -[LNClientConnection fetchDestinationMDMAccountIdentifierForAction:completionHandler:]
00000002253162c4 (__TEXT,__text) non-external -[LNClientConnection fetchDisplayRepresentationForActions:completionHandler:]
000000022531209c (__TEXT,__text) non-external -[LNClientConnection fetchEntityURL:completionHandler:]
00000002253141b0 (__TEXT,__text) non-external -[LNClientConnection fetchOptionsDefaultValuesForAction:completionHandler:]
000000022531471c (__TEXT,__text) non-external -[LNClientConnection fetchOptionsForAction:actionMetadata:parameterMetadata:optionsProviderReference:searchTerm:localeIdentifier:completionHandler:]
0000000225313d40 (__TEXT,__text) non-external -[LNClientConnection fetchParameterOptionDefaultValueForAction:actionMetadata:parameterIdentifier:completionHandler:]
