00007ffe0ab6cfc1 (__TEXT,__text) non-external +[TDVHomeButtonHandler handlerWithCompletion:]
00007ffe0ab70f99 (__TEXT,__text) non-external -[ADTransparencyViewController .cxx_destruct]
00007ffe0ab6f153 (__TEXT,__text) non-external -[ADTransparencyViewController _closeViewController:]
00007ffe0ab6d7ae (__TEXT,__text) non-external -[ADTransparencyViewController _commonInit]
00007ffe0ab70640 (__TEXT,__text) non-external -[ADTransparencyViewController _hideErrorMessage]
00007ffe0ab70d88 (__TEXT,__text) non-external -[ADTransparencyViewController _postDismissedNotification]
00007ffe0ab706c1 (__TEXT,__text) non-external -[ADTransparencyViewController _reportTransparencyViewControllerEventWithType:withCompletionHandler:]
00007ffe0ab6f28e (__TEXT,__text) non-external -[ADTransparencyViewController _showErrorMessage:]
00007ffe0ab6e269 (__TEXT,__text) non-external -[ADTransparencyViewController configureWebView]
00007ffe0ab70e23 (__TEXT,__text) non-external -[ADTransparencyViewController delegate]
00007ffe0ab6f07d (__TEXT,__text) non-external -[ADTransparencyViewController errorDelegate]
00007ffe0ab70ee4 (__TEXT,__text) non-external -[ADTransparencyViewController errorLabel]
00007ffe0ab6d0ed (__TEXT,__text) non-external -[ADTransparencyViewController initWithTransparencyDetails:]
00007ffe0ab70f53 (__TEXT,__text) non-external -[ADTransparencyViewController isiPad]
00007ffe0ab70f09 (__TEXT,__text) non-external -[ADTransparencyViewController myWebView]
00007ffe0ab70f74 (__TEXT,__text) non-external -[ADTransparencyViewController notificationObserver]
00007ffe0ab6d763 (__TEXT,__text) non-external -[ADTransparencyViewController preferredInterfaceOrientationForPresentation]
00007ffe0ab6e079 (__TEXT,__text) non-external -[ADTransparencyViewController prepareRenderingPayload]
00007ffe0ab6efd7 (__TEXT,__text) non-external -[ADTransparencyViewController presentViewDelegate]
00007ffe0ab6ebbb (__TEXT,__text) non-external -[ADTransparencyViewController renderWebView]
00007ffe0ab70e7b (__TEXT,__text) non-external -[ADTransparencyViewController renderingStatusForLocationPermission]
00007ffe0ab70e8c (__TEXT,__text) non-external -[ADTransparencyViewController renderingStatusForPAPermission]
00007ffe0ab6d541 (__TEXT,__text) non-external -[ADTransparencyViewController requestViewWithTransparencyDetails:]
00007ffe0ab70e34 (__TEXT,__text) non-external -[ADTransparencyViewController setDelegate:]
00007ffe0ab70ef5 (__TEXT,__text) non-external -[ADTransparencyViewController setErrorLabel:]
00007ffe0ab70f64 (__TEXT,__text) non-external -[ADTransparencyViewController setIsiPad:]
00007ffe0ab70f1a (__TEXT,__text) non-external -[ADTransparencyViewController setMyWebView:]
00007ffe0ab70f85 (__TEXT,__text) non-external -[ADTransparencyViewController setNotificationObserver:]
00007ffe0ab70eae (__TEXT,__text) non-external -[ADTransparencyViewController setTransparencyDetails:]
00007ffe0ab70ed0 (__TEXT,__text) non-external -[ADTransparencyViewController setTransparencyDetailsData:]
00007ffe0ab70f3f (__TEXT,__text) non-external -[ADTransparencyViewController setTransparencyNavBar:]
00007ffe0ab6d3fd (__TEXT,__text) non-external -[ADTransparencyViewController setupMacCatalyst]
00007ffe0ab70ebf (__TEXT,__text) non-external -[ADTransparencyViewController transparencyDetailsData]
00007ffe0ab70e48 (__TEXT,__text) non-external -[ADTransparencyViewController transparencyDetailsUnavailableMessage]
00007ffe0ab70e9d (__TEXT,__text) non-external -[ADTransparencyViewController transparencyDetails]
00007ffe0ab70f2e (__TEXT,__text) non-external -[ADTransparencyViewController transparencyNavBar]
00007ffe0ab70e59 (__TEXT,__text) non-external -[ADTransparencyViewController transparencyRendererPayload]
00007ffe0ab70e6a (__TEXT,__text) non-external -[ADTransparencyViewController transparencyRendererURL]
00007ffe0ab6d1bc (__TEXT,__text) non-external -[ADTransparencyViewController viewDidAppear:]
00007ffe0ab6d34d (__TEXT,__text) non-external -[ADTransparencyViewController viewDidDisappear:]
00007ffe0ab6d159 (__TEXT,__text) non-external -[ADTransparencyViewController viewDidLoad]
00007ffe0ab6f812 (__TEXT,__text) non-external -[ADTransparencyViewController webView:decidePolicyForNavigationAction:decisionHandler:]
00007ffe0ab7058c (__TEXT,__text) non-external -[ADTransparencyViewController webView:didFailNavigation:withError:]
00007ffe0ab705e6 (__TEXT,__text) non-external -[ADTransparencyViewController webView:didFailProvisionalNavigation:withError:]
00007ffe0ab6f7b6 (__TEXT,__text) non-external -[ADTransparencyViewController webView:didFinishNavigation:]
00007ffe0ab6ce8f (__TEXT,__text) non-external -[NewsTransparencyViewController .cxx_destruct]
00007ffe0ab6b979 (__TEXT,__text) non-external -[NewsTransparencyViewController _closeViewController:]
00007ffe0ab6a1fa (__TEXT,__text) non-external -[NewsTransparencyViewController _commonInit]
00007ffe0ab6b8f8 (__TEXT,__text) non-external -[NewsTransparencyViewController _hideErrorMessage]
00007ffe0ab6ccb5 (__TEXT,__text) non-external -[NewsTransparencyViewController _openDebugView:]
00007ffe0ab6b34a (__TEXT,__text) non-external -[NewsTransparencyViewController _showErrorMessage:]
00007ffe0ab6cbf3 (__TEXT,__text) non-external -[NewsTransparencyViewController debugDetailsViewControllerReady:]
00007ffe0ab6cd3f (__TEXT,__text) non-external -[NewsTransparencyViewController delegate]
00007ffe0ab6cadd (__TEXT,__text) non-external -[NewsTransparencyViewController displayDebugButtonWaitingIndicator]
00007ffe0ab6ba59 (__TEXT,__text) non-external -[NewsTransparencyViewController errorDelegate]
00007ffe0ab6cdde (__TEXT,__text) non-external -[NewsTransparencyViewController errorLabel]
00007ffe0ab69bac (__TEXT,__text) non-external -[NewsTransparencyViewController initWithNewsTransparencyDetailsDictionary:]
00007ffe0ab6ce49 (__TEXT,__text) non-external -[NewsTransparencyViewController isClientTodayWidget]
00007ffe0ab6a1db (__TEXT,__text) non-external -[NewsTransparencyViewController isDeviceLocked]
00007ffe0ab6ce28 (__TEXT,__text) non-external -[NewsTransparencyViewController isiPad]
00007ffe0ab6aa9b (__TEXT,__text) non-external -[NewsTransparencyViewController loadWebView]
00007ffe0ab6ce03 (__TEXT,__text) non-external -[NewsTransparencyViewController myNewsPrivacyWebView]
00007ffe0ab6ce6a (__TEXT,__text) non-external -[NewsTransparencyViewController notificationObserver]
00007ffe0ab6b9bd (__TEXT,__text) non-external -[NewsTransparencyViewController presentViewDelegate]
00007ffe0ab6cd97 (__TEXT,__text) non-external -[NewsTransparencyViewController renderingStatusForLocationPermission]
00007ffe0ab6cda8 (__TEXT,__text) non-external -[NewsTransparencyViewController renderingStatusForPAPermission]
00007ffe0ab6a1e3 (__TEXT,__text) non-external -[NewsTransparencyViewController requestUserPassCodeUnlockUIWithBlock:]
00007ffe0ab6cd50 (__TEXT,__text) non-external -[NewsTransparencyViewController setDelegate:]
