000000018f91b6a0 (__TEXT,__const) non-external _KW_ANY
000000018f91b625 (__TEXT,__const) non-external _KW_ATTLIST
000000018f91b653 (__TEXT,__const) non-external _KW_CDATA
000000018f91b608 (__TEXT,__const) non-external _KW_DOCTYPE
000000018f91b62d (__TEXT,__const) non-external _KW_ELEMENT
000000018f91b69a (__TEXT,__const) non-external _KW_EMPTY
000000018f91b669 (__TEXT,__const) non-external _KW_ENTITIES
000000018f91b61e (__TEXT,__const) non-external _KW_ENTITY
000000018f91b694 (__TEXT,__const) non-external _KW_FIXED
000000018f91b659 (__TEXT,__const) non-external _KW_ID
000000018f91b65c (__TEXT,__const) non-external _KW_IDREF
000000018f91b662 (__TEXT,__const) non-external _KW_IDREFS
000000018f91b646 (__TEXT,__const) non-external _KW_IGNORE
000000018f91b683 (__TEXT,__const) non-external _KW_IMPLIED
000000018f91b63e (__TEXT,__const) non-external _KW_INCLUDE
000000018f91bdb0 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018f91b64d (__TEXT,__const) non-external _KW_NDATA
000000018f91b672 (__TEXT,__const) non-external _KW_NMTOKEN
000000018f91b67a (__TEXT,__const) non-external _KW_NMTOKENS
000000018f91b635 (__TEXT,__const) non-external _KW_NOTATION
000000018f91b6a4 (__TEXT,__const) non-external _KW_PCDATA
000000018f91b617 (__TEXT,__const) non-external _KW_PUBLIC
000000018f91b68b (__TEXT,__const) non-external _KW_REQUIRED
000000018f91b610 (__TEXT,__const) non-external _KW_SYSTEM
000000018f91bdbb (__TEXT,__const) non-external _KW_US_ASCII
000000018f91bdca (__TEXT,__const) non-external _KW_UTF_16
000000018f91bdd1 (__TEXT,__const) non-external _KW_UTF_16BE
000000018f91bdda (__TEXT,__const) non-external _KW_UTF_16LE
000000018f91bdc4 (__TEXT,__const) non-external _KW_UTF_8
000000018f91bdf1 (__TEXT,__const) non-external _KW_encoding
000000018f91be09 (__TEXT,__const) non-external _KW_no
000000018f91bdfa (__TEXT,__const) non-external _KW_standalone
000000018f91bde9 (__TEXT,__const) non-external _KW_version
000000018f91be05 (__TEXT,__const) non-external _KW_yes
000000018f904990 (__TEXT,__text) external _XML_DefaultCurrent
000000018f904ac0 (__TEXT,__text) external _XML_ErrorString
000000018f904ae4 (__TEXT,__text) external _XML_ExpatVersion
000000018f904af0 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018f90319c (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018f90493c (__TEXT,__text) external _XML_FreeContentModel
000000018f903e38 (__TEXT,__text) external _XML_GetBase
000000018f9041cc (__TEXT,__text) external _XML_GetBuffer
000000018f904820 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018f9047fc (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018f9048e4 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018f904888 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018f9047e8 (__TEXT,__text) external _XML_GetErrorCode
000000018f904b00 (__TEXT,__text) external _XML_GetFeatureList
00000001e4319620 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018f903e58 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018f904848 (__TEXT,__text) external _XML_GetInputContext
000000018f9047c0 (__TEXT,__text) external _XML_GetParsingStatus
000000018f91b3cc (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018f903e44 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018f90497c (__TEXT,__text) external _XML_MemFree
000000018f904950 (__TEXT,__text) external _XML_MemMalloc
000000018f904964 (__TEXT,__text) external _XML_MemRealloc
000000018f904030 (__TEXT,__text) external _XML_Parse
000000018f91b3a0 (__TEXT,__text) non-external _XML_Parse.cold.1
000000018f904404 (__TEXT,__text) external _XML_ParseBuffer
000000018f90292c (__TEXT,__text) external _XML_ParserCreate
000000018f902944 (__TEXT,__text) external _XML_ParserCreateNS
000000018f90293c (__TEXT,__text) external _XML_ParserCreate_MM
000000018f9038e8 (__TEXT,__text) external _XML_ParserFree
000000018f902bdc (__TEXT,__text) external _XML_ParserReset
000000018f9046d4 (__TEXT,__text) external _XML_ResumeParser
000000018f903fb0 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018f903d84 (__TEXT,__text) external _XML_SetBase
000000018f904b3c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018f904b0c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018f903eb4 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018f903e90 (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018f903ea8 (__TEXT,__text) external _XML_SetCommentHandler
000000018f903ed8 (__TEXT,__text) external _XML_SetDefaultHandler
000000018f903ee8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018f903efc (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018f903fa4 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018f903e6c (__TEXT,__text) external _XML_SetElementHandler
000000018f9030c8 (__TEXT,__text) external _XML_SetEncoding
000000018f903ecc (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018f903f14 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018f903e84 (__TEXT,__text) external _XML_SetEndElementHandler
000000018f903f50 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018f903fbc (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018f903f68 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018f903f74 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018f903ffc (__TEXT,__text) external _XML_SetHashSalt
000000018f903f38 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018f903f5c (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018f903f2c (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018f903fd4 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018f903e9c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018f904b5c (__TEXT,__text) external _XML_SetReparseDeferralEnabled
000000018f903d3c (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018f903f88 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018f903ec0 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018f903f08 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018f903e78 (__TEXT,__text) external _XML_SetStartElementHandler
000000018f903f44 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018f903f94 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018f903f20 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018f903d64 (__TEXT,__text) external _XML_SetUserData
000000018f903fc8 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018f904660 (__TEXT,__text) external _XML_StopParser
000000018f903d08 (__TEXT,__text) external _XML_UseForeignDTD
000000018f903cfc (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018f90e624 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018f90ebc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018f90e618 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018f90ebbc (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018f90e630 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018f90ebd4 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018f90e098 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018f90edf8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018f90e75c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018f90ec90 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018f90be30 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018f90bf70 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018f90e090 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018f90e040 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018f90df84 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
