00007ff80c218841 (__TEXT,__const) non-external _KW_ANY
00007ff80c2187c6 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80c2187f4 (__TEXT,__const) non-external _KW_CDATA
00007ff80c2187a9 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80c2187ce (__TEXT,__const) non-external _KW_ELEMENT
00007ff80c21883b (__TEXT,__const) non-external _KW_EMPTY
00007ff80c21880a (__TEXT,__const) non-external _KW_ENTITIES
00007ff80c2187bf (__TEXT,__const) non-external _KW_ENTITY
00007ff80c218835 (__TEXT,__const) non-external _KW_FIXED
00007ff80c2187fa (__TEXT,__const) non-external _KW_ID
00007ff80c2187fd (__TEXT,__const) non-external _KW_IDREF
00007ff80c218803 (__TEXT,__const) non-external _KW_IDREFS
00007ff80c2187e7 (__TEXT,__const) non-external _KW_IGNORE
00007ff80c218824 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80c2187df (__TEXT,__const) non-external _KW_INCLUDE
00007ff80c218f50 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80c2187ee (__TEXT,__const) non-external _KW_NDATA
00007ff80c218813 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80c21881b (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80c2187d6 (__TEXT,__const) non-external _KW_NOTATION
00007ff80c218845 (__TEXT,__const) non-external _KW_PCDATA
00007ff80c2187b8 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80c21882c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80c2187b1 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80c218f5b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80c218f6a (__TEXT,__const) non-external _KW_UTF_16
00007ff80c218f71 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80c218f7a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80c218f64 (__TEXT,__const) non-external _KW_UTF_8
00007ff80c218f91 (__TEXT,__const) non-external _KW_encoding
00007ff80c218fa9 (__TEXT,__const) non-external _KW_no
00007ff80c218f9a (__TEXT,__const) non-external _KW_standalone
00007ff80c218f89 (__TEXT,__const) non-external _KW_version
00007ff80c218fa5 (__TEXT,__const) non-external _KW_yes
00007ff80c202e2e (__TEXT,__text) external _XML_DefaultCurrent
00007ff80c202f48 (__TEXT,__text) external _XML_ErrorString
00007ff80c202f66 (__TEXT,__text) external _XML_ExpatVersion
00007ff80c202f73 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80c2013a4 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80c202dd4 (__TEXT,__text) external _XML_FreeContentModel
00007ff80c202289 (__TEXT,__text) external _XML_GetBase
00007ff80c202788 (__TEXT,__text) external _XML_GetBuffer
00007ff80c202cc3 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80c202c9a (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80c202d7e (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80c202d25 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80c202c83 (__TEXT,__text) external _XML_GetErrorCode
00007ff80c202f88 (__TEXT,__text) external _XML_GetFeatureList
00007ff8408546b0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80c2022b5 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80c202cec (__TEXT,__text) external _XML_GetInputContext
00007ff80c202c64 (__TEXT,__text) external _XML_GetParsingStatus
00007ff80c218615 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80c20229e (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80c202e19 (__TEXT,__text) external _XML_MemFree
00007ff80c202de9 (__TEXT,__text) external _XML_MemMalloc
00007ff80c202e00 (__TEXT,__text) external _XML_MemRealloc
00007ff80c202550 (__TEXT,__text) external _XML_Parse
00007ff80c2029c4 (__TEXT,__text) external _XML_ParseBuffer
00007ff80c2009f0 (__TEXT,__text) external _XML_ParserCreate
00007ff80c200a0c (__TEXT,__text) external _XML_ParserCreateNS
00007ff80c200a00 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80c201d99 (__TEXT,__text) external _XML_ParserFree
00007ff80c200d12 (__TEXT,__text) external _XML_ParserReset
00007ff80c202b90 (__TEXT,__text) external _XML_ResumeParser
00007ff80c2024be (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80c2021e2 (__TEXT,__text) external _XML_SetBase
00007ff80c202fcf (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80c202f95 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80c202330 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80c2022fd (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80c20231e (__TEXT,__text) external _XML_SetCommentHandler
00007ff80c20236d (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80c202386 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80c20239f (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80c2024ac (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80c2022cc (__TEXT,__text) external _XML_SetElementHandler
00007ff80c2012f1 (__TEXT,__text) external _XML_SetEncoding
00007ff80c20235b (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80c2023ca (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80c2022ee (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80c20242b (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80c2024d0 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80c20244f (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80c202461 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80c20251a (__TEXT,__text) external _XML_SetHashSalt
00007ff80c202400 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80c20243d (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80c2023ee (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80c2024f4 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80c20230c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80c2021a5 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80c202481 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80c202349 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80c2023b8 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80c2022df (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80c202419 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80c202493 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80c2023dc (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80c2021c7 (__TEXT,__text) external _XML_SetUserData
00007ff80c2024e2 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80c202b21 (__TEXT,__text) external _XML_StopParser
00007ff80c202177 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80c202168 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80c20c7af (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80c20ccd5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80c20c7a2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80c20ccc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80c20c7bc (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80c20cce2 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80c20c236 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80c20ceb1 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80c20c8ba (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80c20cd7b (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80c20a900 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80c20a9e0 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80c20c22b (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80c20c1df (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80c20c12f (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80c20c0a4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80c205098 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80c21865b (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80c206c81 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80c21867e (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80c206cf9 (__TEXT,__text) non-external _accountingReportStats
00007ff80c209610 (__TEXT,__text) non-external _addBinding
00007ff80c219c80 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80c219cb0 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80c2098e4 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff840855ff8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff840856948 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80c214651 (__TEXT,__text) non-external _ascii_toUtf8
00007ff80c20aee5 (__TEXT,__text) non-external _attlist0
00007ff80c20b5e4 (__TEXT,__text) non-external _attlist1
00007ff80c20b654 (__TEXT,__text) non-external _attlist2
00007ff8408550d0 (__DATA_CONST,__const) non-external _attlist2.types
00007ff80c20b878 (__TEXT,__text) non-external _attlist3
00007ff80c20b9a6 (__TEXT,__text) non-external _attlist4
00007ff80c20b832 (__TEXT,__text) non-external _attlist5
00007ff80c20b90c (__TEXT,__text) non-external _attlist6
00007ff80c20b952 (__TEXT,__text) non-external _attlist7
00007ff80c20b73f (__TEXT,__text) non-external _attlist8
00007ff80c20b8c6 (__TEXT,__text) non-external _attlist9
00007ff80c2168e8 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80c2164f8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80c21700c (__TEXT,__text) non-external _big2_charRefNumber
00007ff80c217eb4 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80c215278 (__TEXT,__text) non-external _big2_contentTok
00007ff840855c58 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8408565a8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80c216a20 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80c216c50 (__TEXT,__text) non-external _big2_getAtts
00007ff80c216758 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80c21729c (__TEXT,__text) non-external _big2_isPublicId
00007ff80c216ba1 (__TEXT,__text) non-external _big2_nameLength
00007ff80c216b5c (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80c2170c7 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80c214688 (__TEXT,__text) non-external _big2_prologTok
00007ff80c218f83 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80c217d54 (__TEXT,__text) non-external _big2_scanComment
00007ff80c21755a (__TEXT,__text) non-external _big2_scanLit
00007ff80c217ae8 (__TEXT,__text) non-external _big2_scanPercent
00007ff80c217688 (__TEXT,__text) non-external _big2_scanPi
00007ff80c217f33 (__TEXT,__text) non-external _big2_scanRef
00007ff80c216c16 (__TEXT,__text) non-external _big2_skipS
00007ff80c2174e5 (__TEXT,__text) non-external _big2_toUtf16
00007ff80c217327 (__TEXT,__text) non-external _big2_toUtf8
00007ff80c2171cb (__TEXT,__text) non-external _big2_updatePosition
00007ff80c20a037 (__TEXT,__text) non-external _build_node
00007ff80c209448 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80c20c501 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80c20b359 (__TEXT,__text) non-external _condSect0
00007ff80c20b3fc (__TEXT,__text) non-external _condSect1
00007ff80c20b43c (__TEXT,__text) non-external _condSect2
00007ff80c2059f9 (__TEXT,__text) non-external _contentProcessor
00007ff80c20a6dd (__TEXT,__text) non-external _copyEntityTable
00007ff80c20135f (__TEXT,__text) non-external _copyString
00007ff80c20b25c (__TEXT,__text) non-external _declClose
00007ff80c205d9a (__TEXT,__text) non-external _defineAttribute
00007ff80c209198 (__TEXT,__text) non-external _doCdataSection
00007ff80c207028 (__TEXT,__text) non-external _doContent
00007ff80c206564 (__TEXT,__text) non-external _doIgnoreSection
00007ff80c20c8fb (__TEXT,__text) non-external _doParseXmlDecl
00007ff80c2032cd (__TEXT,__text) non-external _doProlog
00007ff80c218742 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80c21875f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80c218758 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80c218748 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80c21874b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80c218751 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80c218768 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80c218770 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80c218638 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80c219b6b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80c219b6d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80c219b61 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80c20aad4 (__TEXT,__text) non-external _doctype0
00007ff80c20ab27 (__TEXT,__text) non-external _doctype1
00007ff80c20ae46 (__TEXT,__text) non-external _doctype2
00007ff80c20ae00 (__TEXT,__text) non-external _doctype3
00007ff80c20c048 (__TEXT,__text) non-external _doctype4
00007ff80c20afbe (__TEXT,__text) non-external _doctype5
00007ff80c20af30 (__TEXT,__text) non-external _element0
00007ff80c20b9fa (__TEXT,__text) non-external _element1
00007ff80c20bacc (__TEXT,__text) non-external _element2
00007ff80c20bbcc (__TEXT,__text) non-external _element3
00007ff80c20bdf0 (__TEXT,__text) non-external _element4
00007ff80c20be3b (__TEXT,__text) non-external _element5
00007ff80c20bc4b (__TEXT,__text) non-external _element6
00007ff80c20bd1c (__TEXT,__text) non-external _element7
00007ff840855a50 (__DATA_CONST,__const) non-external _encodings
00007ff8408561d0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80c20ae8c (__TEXT,__text) non-external _entity0
00007ff80c20b004 (__TEXT,__text) non-external _entity1
00007ff80c20b2a9 (__TEXT,__text) non-external _entity10
00007ff80c20b04a (__TEXT,__text) non-external _entity2
00007ff80c20b4c5 (__TEXT,__text) non-external _entity3
00007ff80c20b47f (__TEXT,__text) non-external _entity4
00007ff80c20b50b (__TEXT,__text) non-external _entity5
00007ff80c20b596 (__TEXT,__text) non-external _entity6
00007ff80c20b10d (__TEXT,__text) non-external _entity7
00007ff80c20b216 (__TEXT,__text) non-external _entity8
00007ff80c20b1d0 (__TEXT,__text) non-external _entity9
